Line-ID,Population,ACCESSION,Species,Race,Latitude,Longitude,Altitude
LANDB215,LANDB,CIMMYTMA-6802,Zea mays spp mays,TUXPEN,28.612,-105.979,1425
LANDB227,LANDB,CIMMYTMA-21092,Zea mays spp mays,CELAYA,28.933,-107.567,1953
LANDB219,LANDB,CIMMYTMA-6837,Zea mays spp mays,TABLON,28.967,-107.833,1870
LANDB036,LANDB,CIMMYTMA-7294,Zea mays spp mays,TABPER,28.975,-109.395,454
LANDB210,LANDB,CIMMYTMA-21086,Zea mays spp mays,PERLA,29.260,-107.423,1861
LANDB005,LANDB,CIMMYTMA-21008,Zea mays spp mays,HEMBRA,29.354,-107.755,2145
LANDB016,LANDB,CIMMYTMA-7344,Zea mays spp mays,ONAVEN,29.435,-110.367,390
LANDB006,LANDB,CIMMYTMA-645,Zea mays spp mays,CELAYA,29.567,-104.563,798
LANDB035,LANDB,CIMMYTMA-7937,Zea mays spp mays,GORDO,29.650,-108.250,2141
LANTEO192,R2Teo,CIMMYTMA-29300,Zea nicaraguensis,nicaraguensis,12.900,-86.926,175
LANTEO107,R2Teo,CIMMYTMA-13567,Zea mays ssp. parviglumis,Balsas,16.327,-97.042,1094
LANTEO198,R2Teo,CIMMYTMA-29763,Zea mays ssp. parviglumis,Balsas,17.404,-99.467,1200
LANTEO300,R2Teo,Ames 21785,Zea mays ssp. parviglumis,Balsas,17.420,-99.500,1300
LANTEO299,R2Teo,PI 384071,Zea mays ssp. parviglumis,Balsas,18.330,-100.320,1100
LANTEO255,R2Teo,JONAS_POP1,Zea mays ssp. parviglumis,Balsas,18.350,-99.841,1649
LANTEO297,R2Teo,PI 384065,Zea mays ssp. parviglumis,Balsas,18.350,-99.850,1600
LANTEO298,R2Teo,PI 384066,Zea mays ssp. parviglumis,Balsas,18.350,-99.850,1700
LANTEO218,R2Teo,CIMMYTMA-29783,Zea mays ssp. parviglumis,Balsas,18.480,-99.780,1877
LANTEO201,R2Teo,CIMMYTMA-29766,Zea mays ssp. parviglumis,Balsas,18.633,-100.907,315
LANTEO202,R2Teo,CIMMYTMA-29767,Zea mays ssp. parviglumis,Balsas,18.633,-100.907,315
LANTEO168,R2Teo,CIMMYTMA-29724,Zea mays ssp. parviglumis,Balsas,18.850,-100.800,606
LANTEO241,R2Teo,ANNA11,Zea mays ssp. mexicana,Chalco,18.972,-99.037,1589
LANTEO001,R2Teo,CIMMYTMA-8753,Zea mays ssp. mexicana,Chalco,19.029,-98.821,2338
LANTEO290,R2Teo,JONAS_POP36,Zea mays ssp. mexicana,Chalco,19.035,-97.442,2646
LANTEO130,R2Teo,CIMMYTMA-16791,Zea mays ssp. mexicana,Chalco,19.070,-97.530,2455
LANTEO238,R2Teo,ANNA5,Zea mays ssp. mexicana,Chalco,19.077,-98.843,2492
LANTEO103,R2Teo,CIMMYTMA-13561,Zea mays ssp. mexicana,Chalco,19.130,-98.770,2484
LANTEO150,R2Teo,CIMMYTMA-29075,Zea mays ssp. mexicana,Chalco,19.150,-99.620,2713
LANTEO292,R2Teo,JONAS_POP38,Zea mays ssp. mexicana,Chalco,19.159,-98.185,2306
LANTEO149,R2Teo,CIMMYTMA-29074,Zea mays ssp. mexicana,Chalco,19.160,-99.590,2623
LANTEO122,R2Teo,CIMMYTMA-13584,Zea mays ssp. parviglumis,Balsas,19.184,-100.260,1353
LANTEO237,R2Teo,ANNA3,Zea mays ssp. mexicana,Chalco,19.212,-98.809,2353
LANTEO236,R2Teo,ANNA2,Zea mays ssp. mexicana,Chalco,19.212,-99.127,2507
LANTEO220,R2Teo,CIMMYTMA-29785,Zea mays ssp. parviglumis,Balsas,19.226,-101.460,1535
LANTEO105,R2Teo,CIMMYTMA-13564,Zea mays ssp. mexicana,Chalco,19.250,-98.850,2255
LANTEO110,R2Teo,CIMMYTMA-13570,Zea mays ssp. mexicana,Chalco,19.250,-98.850,2255
LANTEO171,R2Teo,CIMMYTMA-29727,Zea mays ssp. parviglumis,Balsas,19.264,-100.458,1276
LANTEO127,R2Teo,CIMMYTMA-14977,Zea mays ssp. mexicana,Chalco,19.280,-99.670,2694
LANTEO123,R2Teo,CIMMYTMA-13585,Zea mays ssp. parviglumis,Balsas,19.310,-100.440,1313
LANTEO151,R2Teo,CIMMYTMA-29076,Zea mays ssp. mexicana,Chalco,19.330,-99.920,2833
LANTEO183,R2Teo,CIMMYTMA-29740,Zea mays ssp. parviglumis,Balsas,19.335,-101.918,1145
LANTEO147,R2Teo,CIMMYTMA-29072,Zea mays ssp. mexicana,Chalco,19.380,-99.520,2580
LANTEO148,R2Teo,CIMMYTMA-29073,Zea mays ssp. mexicana,Chalco,19.390,-99.510,2580
LANTEO264,R2Teo,JONAS_POP10,Zea mays ssp. mexicana,Chalco,19.407,-99.627,2581
LANTEO124,R2Teo,CIMMYTMA-13586,Zea mays ssp. parviglumis,Balsas,19.415,-100.835,1570
LANTEO138,R2Teo,CIMMYTMA-29062,Zea mays ssp. mexicana,Chalco,19.491,-98.832,2428
LANTEO137,R2Teo,CIMMYTMA-29061,Zea mays ssp. mexicana,Chalco,19.494,-98.902,2247
LANTEO239,R2Teo,ANNA8,Zea mays ssp. mexicana,Chalco,19.505,-98.923,2253
LANTEO029,R2Teo,CIMMYTMA-8787,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO030,R2Teo,CIMMYTMA-8788,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO031,R2Teo,CIMMYTMA-8789,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO032,R2Teo,CIMMYTMA-8790,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO033,R2Teo,CIMMYTMA-8791,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO036,R2Teo,CIMMYTMA-8794,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO037,R2Teo,CIMMYTMA-8795,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO038,R2Teo,CIMMYTMA-8796,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO042,R2Teo,CIMMYTMA-8800,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO043,R2Teo,CIMMYTMA-8801,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO045,R2Teo,CIMMYTMA-8803,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO046,R2Teo,CIMMYTMA-8804,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO047,R2Teo,CIMMYTMA-8805,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO050,R2Teo,CIMMYTMA-8808,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO052,R2Teo,CIMMYTMA-8810,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO055,R2Teo,CIMMYTMA-8813,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO058,R2Teo,CIMMYTMA-8816,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO059,R2Teo,CIMMYTMA-8817,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO060,R2Teo,CIMMYTMA-8818,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO065,R2Teo,CIMMYTMA-8823,Zea mays ssp. mexicana,Chalco,19.530,-98.850,2276
LANTEO136,R2Teo,CIMMYTMA-29060,Zea mays ssp. mexicana,Chalco,19.551,-98.863,2267
LANTEO209,R2Teo,CIMMYTMA-29774,Zea mays ssp. parviglumis,Balsas,19.590,-103.960,704
LANTEO115,R2Teo,CIMMYTMA-13576,Zea mays ssp. mexicana,Chalco,19.680,-100.500,2020
LANTEO174,R2Teo,CIMMYTMA-29730,Zea mays ssp. parviglumis,Balsas,19.690,-100.549,2053
LANTEO185,R2Teo,CIMMYTMA-29742,Zea mays ssp. parviglumis,Balsas,19.880,-101.200,1848
LANTEO277,R2Teo,JONAS_POP23,Zea mays ssp. mexicana,Mesa,19.958,-102.516,1854
LANTEO228,R2Teo,CIMMYTMA-29793,Zea mays ssp. parviglumis,Balsas,19.960,-104.050,1160
LANTEO279,R2Teo,JONAS_POP25,Zea mays ssp. mexicana,Mesa,20.053,-101.255,1849
LANTEO098,R2Teo,CIMMYTMA-13550,Zea mays ssp. mexicana,Mesa,20.085,-101.515,1900
LANTEO223,R2Teo,CIMMYTMA-29788,Zea mays ssp. parviglumis,Balsas,20.085,-101.515,1900
LANTEO112,R2Teo,CIMMYTMA-13573,Zea mays ssp. mexicana,Mesa,20.099,-101.936,1705
LANTEO207,R2Teo,CIMMYTMA-29772,Zea mays ssp. parviglumis,Balsas,20.099,-101.936,1705
LANTEO205,R2Teo,CIMMYTMA-29770,Zea mays ssp. parviglumis,Balsas,20.130,-102.090,1817
LANTEO014,R2Teo,CIMMYTMA-8771,Zea mays ssp. mexicana,Mesa,20.150,-102.070,1855
LANTEO211,R2Teo,CIMMYTMA-29776,Zea mays ssp. parviglumis,Balsas,20.170,-102.030,1912
LANTEO096,R2Teo,CIMMYTMA-13548,Zea mays ssp. mexicana,Mesa,20.175,-101.171,1810
LANTEO203,R2Teo,CIMMYTMA-29768,Zea mays ssp. parviglumis,Balsas,20.200,-102.040,1859
LANTEO213,R2Teo,CIMMYTMA-29778,Zea mays ssp. parviglumis,Balsas,20.549,-102.611,1620
LANTEO226,R2Teo,CIMMYTMA-29791,Zea mays ssp. parviglumis,Balsas,20.550,-104.010,1236
LANTEO093,R2Teo,CIMMYTMA-13544,Zea mays ssp. mexicana,Mesa,20.740,-101.930,1726
LANTEO224,R2Teo,CIMMYTMA-29789,Zea mays ssp. parviglumis,Balsas,20.850,-104.420,935
